imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt1142800,Madea Goes to Jail,2009,"Tyler Perry, Derek Luke, Keshia Knight Pulliam, David Mann",29,50,"$100,345,428",Tyler Perry,m
tt0368578,Are We There Yet?,2005,"Ice Cube, Nia Long, Aleisha Allen, Philip Bolden",11,27,"$100,271,830",Ice Cube,m
tt0962726,High School Musical 3: Senior Year,2008,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel",65,57,"$100,023,964",Zac Efron,m
tt0265662,The Rookie,2002,"Dennis Quaid, Rachel Griffiths, Jay Hernandez, Beth Grant",83,72,"$99,862,741",Dennis Quaid,m
tt0452681,The Santa Clause 3: The Escape Clause,2006,"Tim Allen, Elizabeth Mitchell, Eric Lloyd, Judge Reinhold",15,32,"$99,620,543",Tim Allen,m
tt0164052,Hollow Man,2000,"Elisabeth Shue, Kevin Bacon, Josh Brolin, Kim Dickens",27,24,"$99,616,288",Elisabeth Shue,f
tt0400717,Open Season,2006,"Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing",48,49,"$99,502,510",Martin Lawrence,m
tt0303714,Barbershop,2002,"Ice Cube, Anthony Anderson, Cedric the Entertainer, Sean Patrick Thomas",82,66,"$99,333,667",Ice Cube,m
tt1790885,Zero Dark Thirty,2012,"Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler",93,95,"$99,164,039",Jason Clarke,m
tt0473075,Prince of Persia: The Sands of Time,2010,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",36,50,"$99,056,930",Jake Gyllenhaal,m
tt0164334,Along Came a Spider,2001,"Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker",31,42,"$98,903,018",Morgan Freeman,m
tt1142988,The Ugly Truth,2009,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter",13,28,"$98,571,366",Katherine Heigl,f
tt0338094,The Haunted Mansion,2003,"Eddie Murphy, Terence Stamp, Nathaniel Parker, Marsha Thomason",13,34,"$98,007,340",Eddie Murphy,m
tt0328107,Man on Fire,2004,"Denzel Washington, Dakota Fanning, Radha Mitchell, Christopher Walken",39,47,"$97,853,671",Denzel Washington,m
tt0816252,Man of Fire,2004,Luke Hayden,39,NA,"$97,727,733",Luke Hayden,m
tt0377818,The Dukes of Hazzard,2005,"Johnny Knoxville, Seann William Scott, Alice Greczyn, Steve Lemme",13,33,"$97,713,254",Johnny Knoxville,m
tt0162650,Shaft,2000,"Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Christian Bale",68,50,"$97,129,335",Samuel L. Jackson,m
tt1907668,Flight,2012,"Nadine Velazquez, Denzel Washington, Carter Cabassa, Adam C. Edwards",77,76,"$97,091,645",Nadine Velazquez,f
tt2570226,Flights,2012,"Lee Sebastiany, Jeffrey Sutton",77,NA,"$97,091,645",Lee Sebastiany,m
tt0383216,The Pink Panther,2006,"Steve Martin, Kevin Kline, Jean Reno, Emily Mortimer",22,38,"$97,023,799",Steve Martin,m
tt0453562,42,2013,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni",79,62,"$97,015,871",Chadwick Boseman,m
tt1245526,RED,2010,"Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Karl Urban",71,60,"$96,984,152",Bruce Willis,m
tt0362227,The Terminal,2004,"Tom Hanks, Catherine Zeta-Jones, Stanley Tucci, Chi McBride",61,55,"$96,972,106",Tom Hanks,m
tt0413895,Charlotte's Web,2006,"Julia Roberts, Steve Buscemi, John Cleese, Oprah Winfrey",78,68,"$96,905,766",Julia Roberts,f
tt0166813,Spirit: Stallion of the Cimarron,2002,"Matt Damon, James Cromwell, Daniel Studi, Chopper Bernet",69,52,"$96,820,565",Matt Damon,m
tt0302886,Old School,2003,"Luke Wilson, Will Ferrell, Vince Vaughn, Jeremy Piven",60,54,"$96,455,772",Luke Wilson,m
tt0397313,Eight Below,2006,"Paul Walker, Bruce Greenwood, Moon Bloodgood, Wendy Crewson",72,64,"$96,315,596",Paul Walker,m
tt1535108,Elysium,2013,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga",68,61,"$95,075,553",Matt Damon,m
tt0256380,Shallow Hal,2001,"Gwyneth Paltrow, Jack Black, Jason Alexander, Joe Viterelli",51,48,"$95,006,024",Gwyneth Paltrow,f
tt0356634,Garfield,2004,"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray",15,27,"$94,831,163",Breckin Meyer,m
tt1621045,Think Like a Man,2012,"Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall",53,51,"$94,812,012",Michael Ealy,m
tt0350258,Ray,2004,"Jamie Foxx, Kerry Washington, Regina King, Clifton Powell",81,73,"$94,705,225",Jamie Foxx,m
tt0457510,Nacho Libre,2006,"Jack Black, Ana de la Reguera, Héctor Jiménez, Darius Rose",40,52,"$94,663,123",Jack Black,m
tt0489270,Saw III,2006,"Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh",28,48,"$94,663,123",Tobin Bell,m
